title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
Senior Class Photo,davctate,1991,Group class photo taken for senior yearbook. ,LCHS 1992,"Tiptonville, Tennessee",36.35442,-89.42631,Digitized from David Tate&amp;#39;s personal collection.,D001001,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001001
Lara Kendall Elementary ,davctate,1979,A photo of Lara Kendall Elementary School.,LCHS 1992,"Ridgely, Tennessee",36.26605,-89.48054,Digitized from David Tate&amp;#39;s personal collection.,D001002,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001002
A Trip to the Capitol,davctate,1986,"A 1986 class trip to the Tennessee State Capitol in Nashville, Tennessee. ",LCHS 1992,"Nashville, Tennessee",36.16597,-86.78346,Digitized from David Tate&amp;#39;s personal collection.,D001003,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001003
30th Reunion Itinerary,davctate,2022,Itinerary for the Lake County High School Class of 1992&amp;#39;s 30th reunion.,LCHS 1992,"Tiptonville, Tennessee",36.36346,-89.43281,Digitized from David Tate&amp;#39;s personal collection.,D001004,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001004
The Gals,davctate,2022,A group photo of classmates at the 30th reunion.,LCHS 1992,"Tiptonville, Tennessee",36.36327,-89.43282,Digitized from David Tate&amp;#39;s personal collection.,D001005,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001005
A Group Photo,davctate,2022,A group photo taken at the 30th reunion.,LCHS 1992,"Tiptonville, Tennessee",36.36327,-89.43282,Digitized from David Tate&amp;#39;s personal collection.,D001006,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001006
Making It Beautiful,davctate,2022,A view of Ellington Hall being decorated for the 30th reunion. ,LCHS 1992,"Tiptonville, Tennessee",36.36327,-89.43282,Digitized from David Tate&amp;#39;s personal collection.,D001007,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001007
A Pause from Balloons,davctate,2022,A classmate pauses progress to strike a pose for the camera.,LCHS 1992,"Tiptonville, Tennessee",36.36327,-89.43282,Digitized from David Tate&amp;#39;s personal collection.,D001008,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001008
Senior Class Composite,davctate,1991,A composite of the Lake County High School Class of 1992.,LCHS 1992,"Tiptonville, Tennessee",36.37529,-89.47285,Digitized from David Tate&amp;#39;s personal collection.,D001009,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001009
An Email ,davctate,2025,An email composed to uses for born-digital textual document,INSC 565,"Dyersburg, Tennessee",36.04891,-89.39096,Digitized from David Tate&amp;#39;s personal collection.,D001010,Image;StillImage,image/htm,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001010
,davctate,,,INSC 566,"Dyersburg, Tennessee",36.04891,-89.39096,Digitized from David Tate&amp;#39;s personal collection.,D001011,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001011
,davctate,,,INSC 567,"Dyersburg, Tennessee",36.04891,-89.39096,Digitized from David Tate&amp;#39;s personal collection.,D001012,Image;StillImage,image/jpeg,English,No copyright held.,,https://davctate.github.io/dct//dct/item.html?id=D001012
